1.0	1978-06-27	2.0	1.0	2.0
1.0	1978-06-27	2.0	5.0	1.0
1.0	1978-06-28	3.0	1.0	1.0
1.0	1978-06-29	4.0	1.0	1.0
1.0	1978-06-29	4.0	1.0	1.0
1.0	1978-06-29	4.0	1.0	1.0
1.0	1978-06-29	4.0	1.0	2.0
1.0	1978-06-30	5.0	1.0	1.0
1.0	1978-06-30	5.0	1.0	1.0
1.0	1978-06-30	5.0	1.0	1.0
1.0	1978-07-01	6.0	1.0	1.0
1.0	1978-07-01	6.0	1.0	1.0
1.0	1978-07-01	6.0	1.0	1.0
1.0	1978-07-01	6.0	1.0	1.0
1.0	1978-07-01	6.0	1.0	1.0
1.0	1978-07-01	6.0	1.0	2.0
1.0	1978-07-01	6.0	5.0	2.0
1.0	1978-07-05	10.0	1.0	2.0
1.0	1978-07-05	10.0	3.0	1.0
1.0	1978-07-05	10.0	3.0	1.0
1.0	1978-07-07	12.0	1.0	1.0
1.0	1978-07-08	13.0	1.0	2.0
1.0	1978-07-09	14.0	1.0	1.0
1.0	1978-07-10	15.0	1.0	1.0
1.0	1978-07-10	15.0	1.0	1.0
1.0	1978-07-10	15.0	1.0	2.0
1.0	1978-07-12	17.0	1.0	1.0
1.0	1978-07-12	17.0	1.0	1.0
1.0	1978-07-13	18.0	1.0	1.0
1.0	1978-07-17	22.0	5.0	1.0
1.0	1978-07-18	23.0	1.0	1.0
1.0	1978-07-18	23.0	1.0	1.0
1.0	1978-07-18	23.0	1.0	1.0
1.0	1978-07-18	23.0	1.0	2.0
1.0	1978-07-18	23.0	4.0	1.0
1.0	1978-07-18	23.0	4.0	2.0
1.0	1978-07-20	25.0	1.0	2.0
1.0	1978-07-21	26.0	1.0	2.0
1.0	1978-07-21	26.0	1.0	2.0
1.0	1978-07-21	26.0	1.0	
1.0	1978-07-21	26.0	1.0	
1.0	1978-07-21	26.0	5.0	1.0
1.0	1978-07-24	29.0	1.0	1.0
1.0	1978-07-25	30.0	1.0	1.0
1.0	1978-07-25	30.0	1.0	1.0
1.0	1978-07-25	30.0	1.0	2.0
1.0	1978-07-26	31.0	1.0	1.0
1.0	1978-07-31	36.0	1.0	1.0
1.0	1978-08-01	37.0	1.0	1.0
1.0	1978-08-01	37.0	1.0	1.0
1.0	1978-08-01	37.0	1.0	2.0
1.0	1978-08-06	42.0	4.0	1.0
1.0	1978-08-08	44.0	1.0	2.0
1.0	1978-08-10	46.0	1.0	1.0
1.0	1978-08-10	46.0	1.0	2.0
1.0	1978-08-14	50.0	1.0	1.0
1.0	1978-08-14	50.0	1.0	1.0
1.0	1978-08-14	50.0	1.0	
1.0	1978-08-15	51.0	1.0	1.0
1.0	1978-08-15	51.0	1.0	1.0
1.0	1978-08-15	51.0	1.0	2.0
1.0	1978-08-15	51.0	1.0	2.0
1.0	1978-08-16	52.0	1.0	1.0
1.0	1978-08-17	53.0	1.0	1.0
1.0	1978-08-19	55.0	1.0	1.0
1.0	1978-08-22	58.0	1.0	1.0
1.0	1978-08-25	61.0	1.0	1.0
1.0	1978-08-25	61.0	1.0	1.0
1.0	1978-08-29	65.0	1.0	1.0
1.0	1978-09-01	68.0	1.0	1.0
1.0	1978-09-01	68.0	3.0	1.0
1.0	1978-09-01	68.0	4.0	2.0
1.0	1978-09-02	69.0	1.0	1.0
1.0	1978-09-02	69.0	1.0	2.0
1.0	1978-09-02	69.0	1.0	2.0
1.0	1978-09-13	80.0	1.0	1.0
1.0	1978-09-14	81.0	1.0	1.0
1.0	1978-09-15	82.0	1.0	2.0
1.0	1978-09-16	83.0	1.0	1.0
1.0	1978-09-18	85.0	1.0	1.0
1.0	1978-09-19	86.0	1.0	1.0
1.0	1978-09-22	89.0	1.0	2.0
